FIPS Code,Area Name,1985,1986,1987,1988,1989
13000,Georgia,5962639,6084645,6208479,6316139,6411117
13001,Appling  ,15857,15745,15719,15814,15749
13003,Atkinson  ,6332,6373,6298,6265,6231
13005,Bacon  ,9718,9732,9884,9701,9620
13007,Baker  ,3827,3793,3783,3690,3647
13009,Baldwin  ,38241,38520,38897,39345,39465
13011,Banks  ,9473,9640,9928,10155,10155
13013,Barrow  ,24757,25781,26574,27376,28656
13015,Bartow  ,45973,48223,50623,52535,54413
13017,Ben Hill  ,16784,16712,16690,16663,16482
13019,Berrien  ,13955,13818,14102,14160,14200
13021,Bibb  ,151974,151310,150888,151281,150797
13023,Bleckley  ,10613,10424,10406,10337,10342
13025,Brantley  ,9705,10158,10399,10587,10873
13027,Brooks  ,15472,15448,15458,15523,15521
13029,Bryan  ,11650,12299,13227,14173,14786
13031,Bulloch  ,38600,39348,40363,41210,42320
13033,Burke  ,20796,21282,20905,20982,20767
13035,Butts  ,14550,14710,15275,15334,15241
13037,Calhoun  ,5477,5397,5228,5131,5046
13039,Camden  ,18530,20309,22003,23906,27841
13043,Candler  ,7560,7502,7530,7581,7616
13045,Carroll  ,63609,65134,67412,69289,70181
13047,Catoosa  ,39332,39633,40551,41360,41981
13049,Charlton  ,7920,8060,8357,8399,8502
13051,Chatham  ,211565,212854,215015,216061,215986
13053,Chattahoochee  ,19408,18539,18186,18433,17469
13055,Chattooga  ,21798,21885,22001,22155,22295
13057,Cherokee  ,66476,71560,77813,82872,87048
13059,Clarke  ,81146,81673,83102,84668,86518
13061,Clay  ,3509,3414,3383,3421,3426
13063,Clayton  ,164026,167497,170945,174611,179221
13065,Clinch  ,6575,6546,6495,6276,6233
13067,Cobb  ,372905,392568,411475,428287,439006
13069,Coffee  ,28337,29027,29116,29182,29403
13071,Colquitt  ,36500,36709,36987,36915,36681
13073,Columbia  ,51891,55600,58489,60746,63236
13075,Cook  ,13634,13570,13613,13635,13567
13077,Coweta  ,44426,45792,47549,49765,51796
13079,Crawford  ,7833,8093,8339,8581,8826
13081,Crisp  ,20139,19984,20100,20074,20206
13083,Dade  ,12302,12527,12599,12722,13024
13085,Dawson  ,6782,7325,8050,8624,9027
13087,Decatur  ,25914,25740,25581,25591,25591
13089,DeKalb  ,518161,526966,533263,538476,542787
13091,Dodge  ,17346,17349,17218,17317,17537
13093,Dooly  ,10527,10359,10117,10020,9901
13095,Dougherty  ,101917,100808,99692,98595,97410
13097,Douglas  ,62270,64684,66772,68812,70139
13099,Early  ,12743,12505,12269,12058,12019
13101,Echols  ,2320,2320,2266,2298,2275
13103,Effingham  ,21391,22212,22974,23827,24703
13105,Elbert  ,18896,18914,18889,18959,19020
13107,Emanuel  ,20936,20924,20771,20671,20641
13109,Evans  ,8337,8303,8426,8551,8654
13111,Fannin  ,15356,15449,15742,15815,15860
13113,Fayette  ,43627,47668,51940,56070,59614
13115,Floyd  ,79520,79804,80281,81046,81290
13117,Forsyth  ,33779,36076,38158,40089,42082
13119,Franklin  ,15985,16158,16361,16467,16637
13121,Fulton  ,631793,639288,645977,649504,650210
13123,Gilmer  ,11895,12184,12470,12786,13204
13125,Glascock  ,2403,2369,2349,2333,2363
13127,Glynn  ,58410,59163,59919,60976,61804
13129,Gordon  ,32557,32842,33496,34179,34845
13131,Grady  ,20794,20710,20553,20446,20335
13133,Greene  ,11619,11524,11503,11695,11728
13135,Gwinnett  ,253023,277263,301620,323528,341985
13137,Habersham  ,26171,26519,26796,27137,27424
13139,Hall  ,84174,87054,89092,91583,93865
13141,Hancock  ,9347,9245,9198,9045,9010
13143,Haralson  ,20372,20787,21235,21556,21867
13145,Harris  ,16507,16861,17067,17538,17768
13147,Hart  ,19276,19360,19336,19478,19610
13149,Heard  ,7280,7634,7827,8024,8412
13151,Henry  ,43402,45567,48460,51785,55255
13153,Houston  ,82850,84060,85577,86741,88242
13155,Irwin  ,8880,8821,8845,8809,8718
13157,Jackson  ,27504,27907,28556,29095,29684
13159,Jasper  ,7679,7733,7968,8049,8328
13161,Jeff Davis  ,11813,11845,11822,12037,12064
13163,Jefferson  ,18202,18075,17983,17704,17565
13165,Jenkins  ,8644,8555,8407,8361,8320
13167,Johnson  ,8627,8510,8401,8410,8399
13169,Jones  ,19075,19388,19855,20177,20504
13171,Lamar  ,12474,12570,13029,13004,13046
13173,Lanier  ,5768,5740,5760,5657,5578
13175,Laurens  ,38647,38878,39395,39463,40083
13177,Lee  ,14839,15186,15457,15641,16014
13179,Liberty  ,45577,46210,48696,49976,51779
13181,Lincoln  ,7020,7082,7193,7245,7333
13183,Long  ,5691,5680,5532,5804,5799
13185,Lowndes  ,72573,73547,74379,74263,75156
13187,Lumpkin  ,12226,12676,13086,13640,14084
13189,McDuffie  ,19421,19697,19912,19977,20108
13191,McIntosh  ,8402,8556,8731,8706,8737
13193,Macon  ,13813,13621,13454,13394,13314
13195,Madison  ,19161,19367,19726,20147,20660
13197,Marion  ,5539,5574,5586,5576,5595
13199,Meriwether  ,21414,21407,21758,21948,22198
13201,Miller  ,6641,6634,6635,6585,6390
13205,Mitchell  ,21185,21184,20963,20710,20476
13207,Monroe  ,15690,15892,16265,16455,16905
13209,Montgomery  ,7310,7305,7282,7249,7134
13211,Morgan  ,12250,12363,12595,12744,12823
13213,Murray  ,22188,22905,23780,24674,25629
13215,Muscogee  ,176442,178081,179219,177723,178198
13217,Newton  ,38267,38789,39694,40595,41243
13219,Oconee  ,14609,15010,15673,16284,17043
13221,Oglethorpe  ,9411,9384,9501,9487,9673
13223,Paulding  ,31006,33074,35731,38079,40078
13225,Peach  ,19359,19729,19952,21275,21108
13227,Pickens  ,12729,13066,13545,13997,14249
13229,Pierce  ,12647,12781,12846,12965,13104
13231,Pike  ,9450,9352,9557,9882,10002
13233,Polk  ,33341,33488,33751,34049,33919
13235,Pulaski  ,8577,8478,8336,8160,8160
13237,Putnam  ,12092,12520,12964,13338,13682
13239,Quitman  ,2235,2189,2149,2192,2245
13241,Rabun  ,10937,10991,11166,11441,11498
13243,Randolph  ,8780,8511,8399,8302,8127
13245,Richmond  ,189698,191775,189371,187739,188152
13247,Rockdale  ,42466,45169,48136,50083,52316
13249,Schley  ,3504,3627,3650,3619,3560
13251,Screven  ,14461,14851,14582,14281,14134
13253,Seminole  ,8870,8909,8849,8823,8965
13255,Spalding  ,50841,51861,52674,53458,53887
13257,Stephens  ,22695,22643,22906,23145,23219
13259,Stewart  ,5928,5827,5712,5677,5659
13261,Sumter  ,30613,30498,30131,29946,30186
13263,Talbot  ,6407,6399,6434,6487,6539
13265,Taliaferro  ,2085,2083,2036,2004,1956
13267,Tattnall  ,17868,17839,17830,18006,17803
13269,Taylor  ,7741,7716,7684,7597,7575
13271,Telfair  ,11396,11343,11240,11174,11111
13273,Terrell  ,11511,11310,11326,11123,10816
13275,Thomas  ,38518,38640,39080,39089,39220
13277,Tift  ,34078,34192,34314,34576,34948
13279,Toombs  ,23593,23873,24017,24155,24076
13281,Towns  ,6254,6385,6561,6542,6688
13283,Treutlen  ,6075,6010,6030,6021,6024
13285,Troup  ,53438,53901,54051,54598,55598
13287,Turner  ,9323,9320,9060,8931,8842
13289,Twiggs  ,9728,9694,9696,9603,9771
13291,Union  ,10314,10611,10964,11357,11730
13293,Upson  ,26091,26383,26388,26340,26435
13295,Walker  ,57171,57396,57675,58287,58494
13297,Walton  ,33655,34995,36132,36991,38029
13299,Ware  ,37005,36785,36664,36285,35748
13301,Warren  ,6431,6385,6339,6226,6184
13303,Washington  ,19078,18925,18934,18993,19117
13305,Wayne  ,21591,21620,21879,21927,22092
13307,Webster  ,2278,2318,2301,2265,2260
13309,Wheeler  ,5100,5019,4987,4937,4881
13311,White  ,11485,11566,11941,12271,12743
13313,Whitfield  ,68475,69266,70573,71628,72202
13315,Wilcox  ,7269,7223,7179,7183,7094
13317,Wilkes  ,11164,11058,11000,10805,10734
13319,Wilkinson  ,10483,10388,10314,10275,10272
13321,Worth  ,18968,19308,19353,19602,19818
